Timestamp,P99_Latency,Queue_Size,Replica_Count
2026-06-18T00:55:47,0.2494888456355742,N/A,1
2026-06-18T00:56:03,0.24949412262788268,7.0,1
2026-06-18T00:56:19,0.24953217059944305,2.0,1
2026-06-18T00:56:34,0.28916666666666446,1.0,1
2026-06-18T00:56:50,0.24970262390670553,6.0,1
2026-06-18T00:57:06,0.24838529411764704,1.0,1
2026-06-18T00:57:21,0.2483513931888545,N/A,1
2026-06-18T00:57:37,0.24832038834951456,6.0,1
2026-06-18T00:57:52,0.24879901960784312,1.0,1
2026-06-18T00:58:08,0.2483486842105263,N/A,1
2026-06-18T00:58:23,0.2477542857142857,3.0,1
2026-06-18T00:58:39,0.2460049504950495,2.0,1
2026-06-18T00:58:55,0.2389705882352941,N/A,1
2026-06-18T00:59:10,0.23719767441860465,6.0,1
2026-06-18T00:59:25,0.23119999999999996,4.0,1
2026-06-18T00:59:41,0.23001999999999997,N/A,1
2026-06-18T00:59:56,0.22736956521739132,6.0,1
2026-06-18T01:00:12,0.22781249999999997,5.0,1
2026-06-18T01:00:27,0.22831249999999997,N/A,1
2026-06-18T01:00:42,0.23685526315789468,201.0,1
2026-06-18T01:00:58,0.24281132075471695,275.0,2
2026-06-18T01:01:13,0.2447040816326531,286.0,3
2026-06-18T01:01:29,0.2491956664910432,334.0,4
2026-06-18T01:01:44,0.24922647702407,322.0,5
2026-06-18T01:02:00,0.24919884868827352,317.0,6
2026-06-18T01:02:15,0.2492026199455016,344.0,7
2026-06-18T01:02:31,0.24921291317761127,285.0,8
2026-06-18T01:02:46,0.24916996133030211,282.0,9
2026-06-18T01:03:02,0.24909698349781256,288.0,10
2026-06-18T01:03:17,0.2491087755137114,273.0,10
2026-06-18T01:03:33,0.24893664625179418,283.0,10
2026-06-18T01:03:48,0.24895355155906326,245.0,10
2026-06-18T01:04:04,0.23697474747474756,189.0,10
2026-06-18T01:04:19,0.24875989815404198,161.0,10
2026-06-18T01:04:35,0.24888976148923794,134.0,10
2026-06-18T01:04:50,0.24894655111571748,66.0,10
2026-06-18T01:05:05,0.24896509356538904,N/A,10
2026-06-18T01:05:21,0.248879035394788,N/A,10
2026-06-18T01:05:36,0.24886251457442674,1.0,10
2026-06-18T01:05:52,0.2488543356598348,N/A,10
2026-06-18T01:06:07,0.24898626795479512,N/A,10
2026-06-18T01:06:27,0.24882680021567222,5.0,10
2026-06-18T01:06:43,0.24894091111000255,N/A,10
2026-06-18T01:06:58,0.2489176681919534,5.0,10
2026-06-18T01:07:14,0.2490041868107537,2.0,10
2026-06-18T01:07:29,0.24903422239654832,N/A,10
2026-06-18T01:07:44,0.248929225002991,N/A,10
