Timestamp,P99_Latency,Queue_Size,Replica_Count
2026-06-18T01:09:19,0.24895173745173746,N/A,1
2026-06-18T01:09:34,0.24891218847352028,N/A,1
2026-06-18T01:09:50,0.2489976498237368,6.0,1
2026-06-18T01:10:05,0.2267058823529412,3.0,1
2026-06-18T01:10:21,0.22428571428571428,N/A,1
2026-06-18T01:10:36,0.22399999999999998,6.0,1
2026-06-18T01:10:51,0.24249999999999997,5.0,1
2026-06-18T01:11:07,0.2449767441860464,3.0,1
2026-06-18T01:11:22,0.3775000000000004,5.0,1
2026-06-18T01:11:38,0.4058333333333334,9.0,1
2026-06-18T01:11:54,0.38906249999999964,2.0,1
2026-06-18T01:12:09,0.38687499999999997,2.0,1
2026-06-18T01:12:25,0.24908536585365856,N/A,1
2026-06-18T01:12:40,0.24229166666666666,2.0,1
2026-06-18T01:12:56,0.2415076923076923,8.0,1
2026-06-18T01:13:11,0.2775000000000002,N/A,1
2026-06-18T01:13:27,0.2716666666666685,6.0,1
2026-06-18T01:13:42,0.26250000000000057,5.0,1
2026-06-18T01:13:57,0.24461764705882358,N/A,1
2026-06-18T01:14:13,0.2386052631578947,280.0,1
2026-06-18T01:14:28,0.24126582278481012,292.0,2
2026-06-18T01:14:44,0.24412499999999998,303.0,3
2026-06-18T01:14:59,0.24408653846153844,344.0,4
2026-06-18T01:15:15,0.2489104523604092,290.0,5
2026-06-18T01:15:30,0.24886315595428285,309.0,6
2026-06-18T01:15:46,0.24879450270985318,349.0,6
2026-06-18T01:16:01,0.24875808400338228,286.0,6
2026-06-18T01:16:17,0.2397647058823527,284.0,6
2026-06-18T01:16:32,0.24866210013254136,276.0,6
2026-06-18T01:16:48,0.24858504064479514,305.0,6
2026-06-18T01:17:03,0.24875640931077073,262.0,6
2026-06-18T01:17:19,0.24881984253905773,250.0,6
2026-06-18T01:17:35,0.24882829916289928,194.0,6
2026-06-18T01:17:50,0.2487828791710859,160.0,6
2026-06-18T01:18:06,0.24875289303284157,136.0,6
2026-06-18T01:18:21,0.24883238039716069,73.0,6
2026-06-18T01:18:37,0.2488229786790812,N/A,6
2026-06-18T01:18:52,0.24869697832364066,N/A,6
2026-06-18T01:19:08,0.2486794804033176,N/A,6
2026-06-18T01:19:23,0.24874313455560748,N/A,6
2026-06-18T01:19:38,0.24874761117675642,5.0,6
2026-06-18T01:19:54,0.24879141242475122,3.0,6
2026-06-18T01:20:09,0.248789056742815,N/A,6
2026-06-18T01:20:25,0.24877322393190376,N/A,2
2026-06-18T01:20:40,0.24872248268225372,N/A,2
2026-06-18T01:20:55,0.24871562099089745,N/A,2
2026-06-18T01:21:11,0.24877148651114833,N/A,2
2026-06-18T01:21:26,0.24876254747416998,N/A,2
2026-06-18T01:21:41,0.24868263815890312,N/A,2
2026-06-18T01:21:57,0.2486401604960788,N/A,2
2026-06-18T01:22:12,0.2486837197011389,N/A,2
2026-06-18T01:22:28,0.24869512391470683,N/A,2
2026-06-18T01:22:43,0.24877255148743999,N/A,2
2026-06-18T01:22:59,0.24877389419199472,N/A,2
2026-06-18T01:23:14,0.24876016658500735,N/A,2
